Date,Symbol,Entry,Quantity
04-10-2024,NSE:KRN-EQ,468.86,31
30-10-2024,NSE:WAAREEENER-EQ,2400,6
16-12-2024,NSE:EIEL-EQ,316.99,47
17-12-2024,NSE:DEEPINDS-EQ,576.47,26
19-12-2024,NSE:IKS-EQ,1925,7
20-12-2024,NSE:IGIL-EQ,506,29
27-12-2024,NSE:DAMCAPITAL-EQ,400.85,37
30-12-2024,NSE:SENORES-EQ,576.7,26
31-12-2024,NSE:UNIMECH-EQ,1353.75,11
10-01-2025,NSE:SAGILITY-EQ,50.01,299
03-02-2025,NSE:KRN-EQ,926.54,6
06-02-2025,NSE:KRN-EQ,961.85,5
10-03-2025,NSE:KRN-EQ,945.6,10
17-03-2025,NSE:PENIND-EQ,172.49,89
