Date,Symbol,Close Price,Avg Entry Price,Quantity,PnL
2024-10-04,NSE:KRN-EQ,452.21,468.86,31,-516.15
2024-10-07,NSE:KRN-EQ,422.43,468.86,31,-1439.33
2024-10-08,NSE:KRN-EQ,423.18,468.86,31,-1416.08
2024-10-09,NSE:KRN-EQ,459.13,468.86,31,-301.63
2024-10-10,NSE:KRN-EQ,460.74,468.86,31,-251.72
2024-10-11,NSE:KRN-EQ,487.63,468.86,31,581.87
2024-10-14,NSE:KRN-EQ,478.53,468.86,31,299.77
2024-10-15,NSE:KRN-EQ,483.7,468.86,31,460.04
2024-10-16,NSE:KRN-EQ,471.75,468.86,31,89.59
2024-10-17,NSE:KRN-EQ,453.27,468.86,31,-483.29
2024-10-18,NSE:KRN-EQ,462.14,468.86,31,-208.32
2024-10-21,NSE:KRN-EQ,450.13,468.86,31,-580.63
2024-10-22,NSE:KRN-EQ,425.36,468.86,31,-1348.5
2024-10-23,NSE:KRN-EQ,435.43,468.86,31,-1036.33
2024-10-24,NSE:KRN-EQ,426.01,468.86,31,-1328.35
2024-10-25,NSE:KRN-EQ,428.16,468.86,31,-1261.7
2024-10-28,NSE:KRN-EQ,437.83,468.86,31,-961.93
2024-10-29,NSE:KRN-EQ,456.55,468.86,31,-381.61
2024-10-30,NSE:KRN-EQ,456.03,468.86,31,-397.73
2024-10-30,NSE:WAAREEENER-EQ,2441.65,2400.0,6,249.9
2024-10-31,NSE:KRN-EQ,451.32,468.86,31,-543.74
2024-10-31,NSE:WAAREEENER-EQ,2722.1,2400.0,6,1932.6
2024-11-01,NSE:KRN-EQ,467.85,468.86,31,-31.31
2024-11-01,NSE:WAAREEENER-EQ,2890.1,2400.0,6,2940.6
2024-11-04,NSE:KRN-EQ,450.25,468.86,31,-576.91
2024-11-04,NSE:WAAREEENER-EQ,2990.6,2400.0,6,3543.6
2024-11-05,NSE:KRN-EQ,447.95,468.86,31,-648.21
2024-11-05,NSE:WAAREEENER-EQ,3472.7,2400.0,6,6436.2
2024-11-06,NSE:KRN-EQ,537.5,468.86,31,2127.84
2024-11-06,NSE:WAAREEENER-EQ,3636.6,2400.0,6,7419.6
2024-11-07,NSE:KRN-EQ,592.85,468.86,31,3843.69
2024-11-07,NSE:WAAREEENER-EQ,3348.65,2400.0,6,5691.9
2024-11-08,NSE:KRN-EQ,588.05,468.86,31,3694.89
2024-11-08,NSE:WAAREEENER-EQ,3133.7,2400.0,6,4402.2
2024-11-11,NSE:KRN-EQ,625.0,468.86,31,4840.34
2024-11-11,NSE:WAAREEENER-EQ,2822.8,2400.0,6,2536.8
2024-11-12,NSE:KRN-EQ,609.9,468.86,31,4372.24
2024-11-12,NSE:WAAREEENER-EQ,2870.0,2400.0,6,2820.0
2024-11-13,NSE:KRN-EQ,619.9,468.86,31,4682.24
2024-11-13,NSE:WAAREEENER-EQ,2875.75,2400.0,6,2854.5
2024-11-14,NSE:KRN-EQ,652.2,468.86,31,5683.54
2024-11-14,NSE:WAAREEENER-EQ,2917.45,2400.0,6,3104.7
2024-11-18,NSE:KRN-EQ,743.95,468.86,31,8527.79
2024-11-18,NSE:WAAREEENER-EQ,3114.45,2400.0,6,4286.7
2024-11-19,NSE:KRN-EQ,737.1,468.86,31,8315.44
2024-11-19,NSE:WAAREEENER-EQ,2901.8,2400.0,6,3010.8
2024-11-21,NSE:KRN-EQ,762.65,468.86,31,9107.49
2024-11-21,NSE:WAAREEENER-EQ,2721.45,2400.0,6,1928.7
2024-11-22,NSE:KRN-EQ,790.5,468.86,31,9970.84
2024-11-22,NSE:WAAREEENER-EQ,2705.2,2400.0,6,1831.2
2024-11-25,NSE:KRN-EQ,784.55,468.86,31,9786.39
2024-11-25,NSE:WAAREEENER-EQ,2596.6,2400.0,6,1179.6
2024-11-26,NSE:KRN-EQ,742.7,468.86,31,8489.04
2024-11-26,NSE:WAAREEENER-EQ,2525.85,2400.0,6,755.1
2024-11-27,NSE:KRN-EQ,754.9,468.86,31,8867.24
